work_id,title,byline,creators,creators_with_id
L1490,妙法蓮華經玄義釋籤(第4卷-第40卷),隋 智顗說、灌頂記　唐 湛然釋,"智顗,灌頂,湛然",智顗(A001301);灌頂(A004896);湛然(A001307)
L1557,大方廣佛華嚴經疏鈔會本(第51卷-第80卷),唐 實叉難陀譯　唐 澄觀述,"實叉難陀,澄觀",實叉難陀(A001606);澄觀(A001755)
L1571,觀自在菩薩如意輪咒課法,宋 仁岳撰,仁岳,仁岳(A000106)
L1600,大乘起信論疏,唐 法藏述,法藏,法藏(A002450)
L1608,大藏聖教法寶標目,宋 王古撰,王古,王古(A009477)
L1629,大乘百法明門論註,唐 玄奘譯　增修慈恩法師解,"玄奘,慈恩法師",玄奘(A000294);慈恩法師(A001019)
L1635,性相通說（選錄序文）,明 德清述,德清,德清(A001681)
L1636,莊子內篇註,明 德清註,德清,德清(A001681)
L1637,幻有傳禪師語錄,明 正傳說 圓悟．圓修等編,"正傳,圓悟,圓修",正傳(A000273);圓悟(A003688);圓修(A001410)
L1638,雪嶠信禪師語錄(第7卷-第10卷),明 圓信說 弘歇等編,"圓信,弘歇",圓信(A001408);弘歇(A000239)
L1639,天隱修禪師語錄,明 圓修說 通琇編,"圓修,通琇",圓修(A001410);通琇(A001153)
L1640,密雲悟禪師語錄,明 圓悟說 道忞上進,"圓悟,道忞",圓悟(A003688);道忞(A001513)
L1641,大覺普濟能仁琇國師語錄,清 通琇說 行岳編,"通琇,行岳",通琇(A001153);行岳(A016400)
L1642,明道正覺森禪師語錄,清 行森說 超德等編,"行森,超德",行森(A000419);超德(A001374)
L1643,弘覺忞禪師語錄,清 道忞撰述 顯權等編,"道忞,顯權",道忞(A001513);顯權(A001978)
L1649,山茨際禪師語錄,清 通際撰述 達尊．達謙等編次,"通際,達尊,達謙",通際(A001155);達尊(A001571);達謙(A001576)
L1651,五百羅漢尊號,明 高道素手錄,高道素,高道素(A001006)
L1652,明覺聰禪師語錄,清 性聰撰述 寂空．方醒等編次,"性聰,寂空,方醒",性聰(A000644);寂空(A001029);方醒(A000191)
L1666,重訂教乘法數（選錄序文）,清 超海等重訂,超海,超海(A022509)
L1668,御錄宗鏡大綱,清 胤禛錄,胤禛,胤禛(A000212)
L1669,御錄經海一滴,清 胤禛錄,胤禛,胤禛(A000212)
